id,title,word2vec
7260,田园喜嫁之娘子太难追,"[-0.031071706303642897,0.030041159313360724,-0.04531756856867784,-0.006262069892232554,-0.04094953621631559]"
7246,重生之极品赘婿,"[-0.06551222717951469,-0.002855279442757882,-0.025498159245812686,-0.008542999942337388,-0.058380729071233935]"
7243,萌娘守护者,"[-0.05120468946089122,0.0352963985377838,-0.06850263359956443,-0.008007221087940376,-0.07946198872840879]"
7242,老婆大人有点暖,"[-0.07042298251014602,-0.0030097731921289645,-0.03905258085467808,-0.042581735472638334,-0.085491825438415]"
7240,夜撩甜妻：秘爱豪门小太太,"[-0.09128295101931896,0.0811130655788945,-0.022689697203218357,0.011040808376053283,0.004726180822813305]"
7237,秘爱豪门小太太,"[-0.009962090061441676,0.02874390247408683,0.013048597892558151,-0.06775605330269222,-0.0762624185570605]"
7235,无双隐龙在都市,"[-0.3257238854254995,0.09269225870126059,-0.1127139639242419,-0.017985614016652107,0.12631661472343172]"
7232,神级相术师,"[-0.05236398715215425,-0.01603439463612934,-0.002182761331399282,-0.006471678130328656,-0.03282144021553298]"
7231,宫心谋之庶女皇妃,"[-0.07866390856470887,0.0454389350624334,-0.08011136643751204,-0.02611120575911378,-0.03245006245560944]"
7230,重生毒后不好惹,"[-0.0941655939488217,0.0036570523096638363,-0.042115956663998755,-0.00957687390524201,-0.06828606789281895]"
7229,鬼王的特工狂妃,"[-0.11907599322361553,0.08482697449351957,-0.057969973218150256,0.018445391852476792,-0.026765567023397947]"
7227,先婚后爱：权少的迷糊小老婆,"[-0.07057823170907795,0.013599685840456495,-0.032160250713960045,-0.03747869260832741,-0.06214525527320802]"
7224,一胎二宝来报到,"[-0.09636949188037154,0.0030356780528866993,-0.0370108368054692,-0.04420671752692821,-0.05341478905756958]"
7197,农门厨娘：相公在下，我在上,"[-0.09111656174502349,0.008958989676708976,-0.04516451101601664,0.005582780735837161,-0.050979466204517994]"
7196,穿成众大佬的心尖宠,"[-0.08022912234091796,-0.037766830768818274,-0.021001855845754154,-0.033504739594765194,-0.08547815347376923]"
7193,剑王朝,"[-0.06148944975233034,0.11468570468965553,-0.04874152413514607,0.017718348232116186,-0.0156120109536192]"
7186,重案重启,"[-0.04639702827490492,0.035396161701475436,-0.023495793598247508,0.0024425219196607083,-0.014369221805941825]"
7185,我的姥姥是半仙,"[-0.04553354515165493,-0.00802785172001333,-0.03520624057037404,0.003244545965178593,-0.06896116604676118]"
7184,极品炼丹师,"[-0.01952545662732938,0.004256667888675554,-0.09161729445436205,0.07690813947612277,-0.15073531243997887]"
7183,快穿系统：反派男神攻略计,"[-0.01929375408738116,0.03264714968023135,-0.14081078288176,-0.07554313573545139,-0.11051854427511754]"
7181,透视龙魂在都市,"[-0.07001072641994271,0.05932438795321754,-0.059999276052362153,-0.017074520979076625,-0.02286398630988385]"
7179,神品大仙民,"[-0.1813740008394234,-0.012172871979419143,0.005341376550495625,-0.01938684079796076,-0.00020400274079293015]"
7174,真武医圣,"[-0.08001396156129582,0.06463030052060882,-0.04645182485692203,0.03708507582972136,-0.01968884833040647]"
7171,下堂夫人之凤逑凰,"[-0.09811918589394723,-0.03581823460744615,-0.015791682841282496,-0.029314788484709784,-0.05203636108510669]"
7169,极品辣妈好v5,"[-0.10667030917786395,-0.050084755901914475,-0.02202888270284035,-0.03737520537019443,-0.06760731158229008]"
7144,我的极品老婆,"[-0.0997102796033557,-0.03524157027048724,-0.0016453596696789775,-0.03570176534620779,-0.019139951547341688]"
7143,掀翻时代的男人,"[-0.092201763184323,-0.0014380755221319137,-0.03166425491360073,-0.02279518687104502,-0.0626875817376588]"
7142,神级采集术,"[-0.054902698706697534,0.07674784387065166,-0.0487663768818257,0.03502551361452788,-0.0381080820052712]"
7140,神脉至尊,"[-0.058951377886335685,0.021828123365375627,-0.06479185164310745,-0.03433569012315873,-0.052583308168392205]"
7139,邪魅校草的极致奢宠：丫头吻我！,"[-0.11082924719376025,0.008493451273534448,-0.01494941574492259,-0.02154875240812544,-0.0660423145396635]"
7136,新婚夜下温情,"[-0.1206826081560057,-0.04191681941212091,-0.10125227070936602,-0.07151607513006725,-0.05647833996184476]"
7134,庆余年,"[-0.06426578210666775,0.0005846613241980473,0.0037556964011552433,0.009161303758931656,0.003725014087588837]"
7133,凶神再临洛庭轩方可儿,"[-0.06264203174837997,0.10042867541778833,-0.08251358785284017,0.005870285759946065,0.012110741775748984]"
7132,纨绔世子妃,"[-0.07799549325829416,0.0759548688850676,-0.08699943397438065,0.014563579480939854,-0.043197873214791925]"
7129,特种兵王闯都市,"[-0.06878807131116363,0.04016552979451125,-0.06261004099867547,-0.029842705049580247,-0.03541654696561058]"
7128,帝少的神秘丑妻,"[-0.06921493548563577,0.004919348219926986,-0.08289652842278074,-0.03495770241715945,-0.0814828049753689]"
7127,婚妻已定,"[-0.046014924175052464,0.019884402341150475,-0.07059520928606648,-0.0175995625202255,-0.034344777673611354]"
7123,重生暖婚：甜妻，新上线,"[-0.062299431184050146,0.08095664722483832,-0.06646843215973919,-0.005220297277353856,-0.053871322822357924]"
7120,一胎三宝：总裁大人请关门！,"[-0.04910307137441693,-0.004001856854587209,-0.02495729801354601,-0.04045309760954742,-0.07423780318440906]"
7119,秦飞扬唐沁雪,"[-0.0011700208362361247,0.026482310378924012,0.004076521695506844,-0.12297886514782229,-0.12908915629271756]"
7118,她比草莓还可爱,"[-0.0179957025516105,0.056258206121084925,0.033700544482478535,-0.07527717230392687,-0.05496446719583887]"
7117,邪皇抢婚：第一杀手狂妃,"[-0.05735087350735234,0.07174346108028354,-0.09197099564335076,0.022982302668323327,-0.06660978253542756]"
7115,武神劫,"[-0.06491398572539672,0.05012369454384614,-0.05498196244335327,-0.01559790722034776,-0.08361573745974173]"
7114,替嫁王妃,"[-0.02965626871168968,-0.006053944187615776,-0.09333367246325083,0.07040351876951588,-0.19694871650842416]"
7113,最强龙婿,"[-0.0011700208362361247,0.026482310378924012,0.004076521695506844,-0.12297886514782229,-0.12908915629271756]"
7112,剑临天下,"[-0.040797263736345075,0.10301938240364607,-0.02067413278079281,0.040935085672471255,0.02372127711229647]"
7104,风月不知我心意,"[-0.08150965845408407,0.05865080639916031,-0.039685411991453486,-0.0027933403000229427,-0.05191197028187544]"
7093,修罗战神,"[-0.052813085787020986,0.0673364417900036,-0.08267374978139543,0.0005541617141627684,-0.04859943308004337]"
7091,错娶毒妃，王爷认栽吧,"[-0.10060315723568501,0.16178254723068206,-0.11342187660310657,0.06961828175811999,-0.03814644316932367]"
7090,先婚后爱：老公很凶猛,"[-0.14616060281017174,-0.06998238537926227,-0.029184652655385435,-0.07268226122614578,-0.051042980566853656]"
7089,崩原乱,"[-0.060188220394775276,0.1075342245399952,-0.05436079492792487,0.0008665649220347404,-0.006664964836090803]"
7088,无上升级系统,"[-0.032566059193849355,0.017264979878361796,-0.04005310654272916,-0.0282732756828076,-0.04869668808122966]"
7086,凤姝京华,"[-0.1372545873088276,0.06833978410830478,-0.06645509848654593,-0.021254833261279957,-0.03296258686231854]"
7084,重生之侯府良女,"[-0.06160624181011728,0.05071843972466156,-0.0707006190593044,0.021155601335397244,-0.026090250980547246]"
7080,武弑归墟,"[-0.046329815834594355,0.04622174818151896,-0.017700837891814963,-0.0019927655188699384,-0.056112344755092636]"
