id,title,discription
7260,田园喜嫁之娘子太难追,田园 喜嫁 娘子 太难 追 楚正秋 穿越 言情小说 完结 姚瑶 秦玥 姚瑶 穿越 变成 村里 傻妞 姚二丫 破屋 烂床 穷苦 无粮 但父 慈母 善 姐姐 彪悍 护短 弟妹 呆萌 纯良 一穷二白 何惧 有手 脚 脑 财源 自然 滚滚 极品 亲戚 一箩筐 姚瑶 原则 小女子 动口 动手 毒舌 怼 吐血 出手 没商量 一手 种田 一手 经商 家人 美 小日子 过得 温馨 惬意 及笄 便 媒婆 踏破 门槛 姚瑶 一句 嫁人 嫁人 我要 娶 夫 打发 干净 第二天 竟真 有人 主动
7246,重生之极品赘婿,重生 极品 赘婿 腾霄 重生 完结 杨元良 科学 杨 国威 穿越 类似 宋朝 平行 世界 成为 一个五品 官家 赘婿 杨元良 想 悠闲 生活 没事 逛逛 街 逗 逗 妻妾 带 几个 狗腿子 调戏 良家妇女 没 曾 想 抄 两首 诗词 抄成 天下第一 才子 写 两篇 文章 写成 旷古绝今 大儒 弄 两台 机器 改善生活 一不小心 爆发 工业革命 … …
7243,萌娘守护者,萌娘 守护者 王 骑士 科幻小说 完结 吴风 想 穿越 动漫 世界 想 动漫 妹纸 零距离 接触 想 动漫 妹纸 负 距离 接触 想 一群 动漫 妹纸 负 距离 接触 签订契约 成为 世界 守护者 战胜 穿越 轮回 神之代 行者 肆无忌惮 夺取 世界 本源 家伙 地狱
7242,老婆大人有点暖,老婆大人 有点 暖 i 笛声 悠扬 言情小说 完结 夏馨菲 穆梓轩 一场 精心设计 嫁给 挚爱 男人 夏馨菲 想要 霸道 禁锢 身边 那好 满足 便是 气愤 心机 化身 凶残 野兽 百般 欺负 原本 想 折磨 渐渐 无法自拔 该死 女人 是不是 我施 魔法 执念 不舍
7240,夜撩甜妻：秘爱豪门小太太,夜 撩 甜妻 秘爱 豪门 太太 炒鸡萌 言情小说 完结 桑 梚 顾祈言 姐姐 婚前 死亡 代嫁 新娘 送到 姐夫 床上 权倾天下 身家 千亿 冷情 帝少 从小 贱养 桑家 私生女
7237,秘爱豪门小太太,秘爱 豪门 太太 炒鸡萌 言情小说 完结 桑 梚 姐姐 婚前 死亡 代嫁 新娘 送到 姐夫 床上 权倾天下 身家 千亿 冷情 帝少 从小 贱养 桑家 私生女 传闻 不近 女色 帝少 下降 头 破例 迎娶 毁容 丑妻 外界 下堂 妻 凄惨 下场 不想 曾经 欺凌 妻子 全都 收拾 个遍 人人 丑 傻福 不想 整个 帝少家 颜粉 太太 S 市 好看 女人 — — 娶 没 常识 呆 萌 小可爱 明白 智障 美 不好 太太 批
7235,无双隐龙在都市,无双 隐龙 都市 红杏出墙 都市 完结 王阳 兵王 回归 都市 美女如云 入职 … …
7232,神级相术师,神级 相术 师 十字坡 奇幻 完结 郁良 相术 门 学问 相天 相地 相 相物 无所 不相 细 生辰八字 六爻 八卦 奇门遁甲 阴阳 风水 诸多 玄术 包罗 精其 一门 便 称为 相师 相师 三宗 五类 长幼尊卑 相术 九阶 一阶一 乾坤 生活 困顿 之际 半部 残卷 走上 相师 条路 从此 浪迹江湖 落魄 摆过 地摊 进 局子 看多 世人 白眼 风光 商贾 贵胄 迎来送往 豪门 怨妇 半夜 登门 … … 一路 风风雨雨 回头 看时 明白 相 不尽 风尘
7231,宫心谋之庶女皇妃,宫心谋 庶 皇妃 爱 猫咪 樱 古代 言情小说 完结 金玉 夏侯 明 身为 庶女 金玉 这辈子 最大 理想 活下去 活下去 费尽心机 选秀 入宫 活下去 宫内 挣扎 沉沦 活下去 皇帝 嫔妃 斗 皇帝 母亲 斗 皇帝 政敌 斗 还要 皇帝 本人 斗 身为 皇帝 夏侯 明上 半辈子 倒霉 冤枉 昏君 半辈子 倒霉 拥有 难 调教 宠妃 帝王 亦 枭雄 江山 易夺 汝心 难求 婆婆 欺负 男友 变心 意外 遇见 身上 那份 阳光 情不自禁 想
7230,重生毒后不好惹,重生 毒后 不好惹 月 中夜 重生 完结 苏宛 李睿晟 大周 王朝 皇后 苏宛 儿子 和亲 妹妹 共同 谋害 死不瞑目 转而 重生 重回 苏府 回 庶 前世 记忆 一步步 夺回 属于 父爱 荣辱 中宫 重重 逆天 改命 变故 很多 事情 变得 选 … …
