title,link,author,wordNum,read,discription
田园喜嫁之娘子太难追,https://www.biquker.com/xiaoshuo/7260.html,楚正秋,1052000字,1,《田园喜嫁之娘子太难追》是由作者楚正秋编写的一部穿越言情小说，目前已完结，主角是姚瑶、秦玥，小说的故事主要讲述了姚瑶穿越了，变成了村里傻妞姚二丫。  破屋烂床，穷苦无粮，但父慈母善，姐姐彪悍护短，弟妹呆萌纯良。  一穷二白有何惧？有手有脚还有脑，财源自然滚滚来！  极品亲戚一箩筐？姚瑶的原则是，小女子动口也动手！毒舌把人怼吐血，出手就打没商量！  一手种田，一手经商，家人和美，小日子过得温馨惬意。  刚及笄便有媒婆踏破门槛，姚瑶只一句“嫁人是不可能嫁人的，我要娶夫”给打发了干净。  谁知第二天竟真有人主动
重生之极品赘婿,https://www.biquker.com/xiaoshuo/7246.html,腾霄,1616000字,8,《重生之极品赘婿》是由作者腾霄编写的一部重生小说，目前已完结，主角是杨元良，小说的故事主要讲述了科学大家杨国威穿越到了一个类似宋朝的平行世界，成为了一个五品官家的赘婿。杨元良只想过悠闲的生活，没事逛逛街逗一逗妻妾，带着几个狗腿子去调戏良家妇女。没曾想抄两首诗词抄成了天下第一才子，写两篇文章写成了旷古绝今的大儒。弄两台机器改善生活，一不小心爆发了工业革命……
萌娘守护者,https://www.biquker.com/xiaoshuo/7243.html,王骑士,2874000字,3,《萌娘守护者》是由作者王骑士编写的一部科幻小说，目前已完结，主角是吴风，小说的故事主要讲述了你想穿越到动漫世界么！你想和动漫妹纸零距离接触么！你想和动漫妹纸负距离接触么！！你想和一群动漫妹纸负距离接触么！！！那就来签订契约成为世界守护者吧，战胜一切穿越者、轮回者、神之代行者，让那些肆无忌惮夺取世界本源的家伙下地狱吧！
老婆大人有点暖,https://www.biquker.com/xiaoshuo/7242.html,i笛声悠扬,2006000字,3,《老婆大人有点暖》是由作者i笛声悠扬编写的一部言情小说，目前已完结，主角是夏馨菲、穆梓轩、，小说的故事主要讲述了一场精心设计，她嫁给了自己挚爱的男人。“夏馨菲，这就是你所想要的吗？”他霸道地将她禁锢在自己身边，“那好，我满足你便是。”他气愤她的心机，化身凶残野兽，对她百般欺负。原本是想折磨她，可是却为何会渐渐无法自拔？“该死的女人，你是不是给我施了什么魔法，才会让我如此执念不舍。”
夜撩甜妻：秘爱豪门小太太,https://www.biquker.com/xiaoshuo/7240.html,炒鸡萌,1962000字,4,《夜撩甜妻：秘爱豪门小太太》是由作者炒鸡萌编写的一部言情小说，目前已完结，主角是桑梚、顾祈言，小说的故事主要讲述了姐姐婚前死亡，她作为代嫁新娘被送到了姐夫的床上。他是权倾天下、身家千亿的冷情帝少，她却只是从小被贱养的桑家私生女。
秘爱豪门小太太,https://www.biquker.com/xiaoshuo/7237.html,炒鸡萌,1962000字,3,《秘爱豪门小太太》是由作者炒鸡萌编写的一部言情小说，目前已完结，主角是桑梚，小说的故事主要讲述了姐姐婚前死亡，她作为代嫁新娘被送到了姐夫的床上。他是权倾天下、身家千亿的冷情帝少，她却只是从小被贱养的桑家私生女。传闻，不近女色的帝少被下降头，破例迎娶“毁容”丑妻，外界都等着看她下堂妻的凄惨下场，却不想他把曾经欺凌过他小妻子的人全都收拾个遍。人人都说她丑人有傻福，却不想整个帝少家的下人都是她的“颜粉”：“小太太是S市最好看的女人。”——自从娶了这没常识的呆萌小可爱，他才明白什么叫“智障美”。“不好了！小太太批
无双隐龙在都市,https://www.biquker.com/xiaoshuo/7235.html,红杏出墙,1334000字,3,《无双隐龙在都市》是由作者红杏出墙编写的一部都市小说，目前已完结，主角是王阳，小说的故事主要讲述了兵王回归都市，在美女如云的公司入职……
神级相术师,https://www.biquker.com/xiaoshuo/7232.html,十字坡,1000000字,5,《神级相术师》是由作者十字坡编写的一部奇幻小说，目前已完结，主角是郁良，小说的故事主要讲述了相术，是门学问。大了说，相天、相地、相人、相物，无所不相。细了说，生辰八字、六爻八卦、奇门遁甲，阴阳风水等诸多玄术都包罗其中。精其一门，便可称为相师。相师三宗五类，论长幼尊卑，相术九阶，一阶一乾坤。生活困顿之际，因半部残卷，他走上了相师这条路，从此浪迹江湖。落魄时，他摆过地摊，进过局子，看多了世人的白眼；风光时，商贾贵胄迎来送往，豪门怨妇半夜登门……一路风风雨雨，待他回头看时才明白，相不尽的，是风尘。
宫心谋之庶女皇妃,https://www.biquker.com/xiaoshuo/7231.html,爱猫咪的小樱,478000字,3,《宫心谋之庶女皇妃》是由作者爱猫咪的小樱编写的一部古代言情小说，目前已完结，主角是金玉、夏侯明，小说的故事主要讲述了身为一个庶女，金玉这辈子最大的理想就是活下去。为了活下去，她费尽心机选秀入宫；为了活下去，她在宫内挣扎沉沦；为了活下去，她和皇帝的嫔妃斗，和皇帝的母亲斗，和皇帝的政敌斗，甚至还要和皇帝本人斗！身为一个皇帝，夏侯明上半辈子最倒霉的是被冤枉为昏君，下半辈子最倒霉的是拥有一个难调教的宠妃。他是帝王，亦是枭雄；江山易夺，汝心难求！婆婆欺负，男友变心，意外里，遇见了他。他身上的那份阳光让我情不自禁的想
重生毒后不好惹,https://www.biquker.com/xiaoshuo/7230.html,月中夜,8000字,3,《重生毒后不好惹》是由作者月中夜编写的一部重生小说，目前已完结，主角是苏宛、李睿晟，小说的故事主要讲述了大周王朝，皇后苏宛被儿子和亲妹妹共同谋害，死不瞑目，转而重生，重回苏府做回庶女，根据前世记忆，一步步夺回属于她的父爱、荣辱、中宫，可重重逆天改命变故之后，很多事情变得不一样，她该怎么选……
鬼王的特工狂妃,https://www.biquker.com/xiaoshuo/7229.html,喵星人,136000字,3,《鬼王的特工狂妃》是由作者喵星人编写的一部古代言情小说，目前已完结，主角是白琉月、夜无钰，小说的故事主要讲述了她，贵为丞相家的大小姐，却是爹不疼娘不爱的主，被迫替妹出嫁不止，新婚夜，还被一妖孽掐她脖子，某男玩味一笑：“敢鱼目混珠，你想怎么死？”她闻言，素手同样掐住了男子的脖子道：“和你一起死。”
