title,link,author,wordNum,read,rec
田园喜嫁之娘子太难追,https://www.biquker.com/xiaoshuo/7260.html,楚正秋,1052000字,1,医妃妙手冠朝堂 一品村姑+番外 萌宠兽世：兽夫，么么哒！ 田园小蛮妃 穿越之锦绣田园 穿越者吹水群 农门贵女 穿越农女发家记 穿越之锦绣医途
重生之极品赘婿,https://www.biquker.com/xiaoshuo/7246.html,腾霄,1616000字,8,重生之女神养成计划 校园重生：最强女特工 重生嫡女：风华倾天下 嫡女重生：凤霸天下 重生专宠：摄政王的毒妃 重生复仇：腹黑嫡女 重生之风云录 重生校园：帝王娇妻暖暖爱 重生之师父不作死
萌娘守护者,https://www.biquker.com/xiaoshuo/7243.html,王骑士,2874000字,3,变身之穿越异世界的吸血真祖 巫师世界 征战诸天世界 邪王追妻：废柴小兽妃 撕天纪 萌宠兽世：兽夫，么么哒！ 我家有只废天使 快穿表妹不是炮灰 重生之火影世界
老婆大人有点暖,https://www.biquker.com/xiaoshuo/7242.html,i笛声悠扬,2006000字,3,靳少强宠小逃妻 闪婚蜜爱：霸道总裁蜜宠妻 豪门闪婚：总裁霸道宠 不得不爱：总裁请温柔 顾少的强势宠爱 我可能不会爱你 霸道人生 月前间心玉生花 天才萌宝腹黑娘亲
夜撩甜妻：秘爱豪门小太太,https://www.biquker.com/xiaoshuo/7240.html,炒鸡萌,1962000字,4,秘爱豪门小太太 溺爱豪门小萌妻 傅少的秘宠娇妻 蜜爱暖宠小甜妻 风流名将 名门盛婚 总裁宠妻无下限 我怀了反派的孩子 第二十八年春
秘爱豪门小太太,https://www.biquker.com/xiaoshuo/7237.html,炒鸡萌,1962000字,3,溺爱豪门小萌妻 夜撩甜妻：秘爱豪门小太太 傅少的秘宠娇妻 蜜爱暖宠小甜妻 名门婚宠：晚安，郝太太 爱入深海：薄情不负 愿为你流尽眼泪 帝少的神秘丑妻 高调强宠：恶魔老公，停一停
无双隐龙在都市,https://www.biquker.com/xiaoshuo/7235.html,红杏出墙,1334000字,3,都市至尊神兵 都市之纨绔天才 都市风流邪少 都市逍遥强兵 都市兵皇 超强猛将 绝世狂兵在都市 都市之仙尊归来 逍遥狂兵都市游
神级相术师,https://www.biquker.com/xiaoshuo/7232.html,十字坡,1000000字,5,"悬壶相师 少年妖孽相师 超品相师 爹地们,太腹黑 每天都在缺功德 武动乾坤 把反派养歪了肿么破 超品医仙 狂武医仙"
宫心谋之庶女皇妃,https://www.biquker.com/xiaoshuo/7231.html,爱猫咪的小樱,478000字,3,"寂寞空庭春欲晚 侯门嫡女：弃后不好惹 王爷宠妻忙 圣元大神医 皇后闹改嫁 月满京华 皇上滚开,本宫只劫财 中宫 爆笑皇后：本宫要改嫁"
重生毒后不好惹,https://www.biquker.com/xiaoshuo/7230.html,月中夜,8000字,3,重生之女神养成计划 重生专宠：摄政王的毒妃 重生嫡女：风华倾天下 嫡女重生：凤霸天下 重生校园：帝王娇妻暖暖爱 重生之师父不作死 重生千金复仇 重生复仇：腹黑嫡女 重生暖婚：甜妻，新上线
鬼王的特工狂妃,https://www.biquker.com/xiaoshuo/7229.html,喵星人,136000字,3,鬼手神医：倾城王妃 魔帝狂妃：废物大小姐 段如兰钟明巍 呆萌小青梅：妖孽竹马太腹黑 风流名将 名门盛婚 绝色丹药师：鬼王妖妃 鬼王的金牌宠妃 盛世狂妃：废材逆天四小姐
先婚后爱：权少的迷糊小老婆,https://www.biquker.com/xiaoshuo/7227.html,好吃的菜包,990000字,3,闪婚独宠：总裁老公太难缠 先婚后爱：老公很凶猛 似爱而非（重写版）+续篇+番外 错爱一生 亿万爹地天价宠 嫁给豪门老男人 老公，这次来真的 名门盛宠：闪婚成恋 隐婚100分：神秘老公不见面
一胎二宝来报到,https://www.biquker.com/xiaoshuo/7224.html,风中草莓,1124000字,3,画爱为牢：总裁请走开 偏执总裁宠上瘾 名门盛婚 风流名将 我的绝色总裁夫人 天降奶爸俏总裁 三生三世艳莲杀 不落相思意 这次来真的
农门厨娘：相公在下，我在上,https://www.biquker.com/xiaoshuo/7197.html,沐妃妃,794000字,3,废材大小姐，邪君请让道！ 农门贵女 萌宠兽世：兽夫，么么哒！ 邪王追妻：废柴小兽妃 穿越者吹水群 一品村姑+番外 盛世狂妃：废材逆天四小姐 穿越农女发家记 腹黑燕王妃
穿成众大佬的心尖宠,https://www.biquker.com/xiaoshuo/7196.html,殊歌,3354000字,3,萌妻娇俏：帝少，我嘴挑 诱妻入怀：前夫，请温柔 穿越乱世医女 穿成男主师尊了 萌宠兽世：兽夫，么么哒！ 废材大小姐，邪君请让道！ 农门贵女 佛系少女进化论 邪王辣妃
剑王朝,https://www.biquker.com/xiaoshuo/7193.html,无罪,1818000字,3,镜·前传 朱颜／上卷 夺君天下 每天都在缺功德 千山记 撕天纪 龙啸大明 巫师世界 九玄神尊 调教初唐
重案重启,https://www.biquker.com/xiaoshuo/7186.html,无怨,1372000字,3,爱上小狐妖 都市风流邪少 都市之纨绔天才 无双隐龙在都市 我欲成王 悬案组 金钱美人志 隐杀 都市至尊神兵
我的姥姥是半仙,https://www.biquker.com/xiaoshuo/7185.html,三楼均均,1270000字,3,婚然心动：前妻再嫁我一次 九龙天棺 你的名字 回眸定终生 冥婚妻子 我的老公是冥王 慕小乔江起云 代孕成婚 亿万婚约：老婆娶一送一
